IBOV,,,PETR4,,,VALE3,,,DOLAR,
Date,Close,,Date,Close,,Date,Close,,Date,Close
39087.70556,42245,,39087.70556,23.13,,36739.70556,0.93,,38996.99861,2.1625
39090.70556,42829,,39090.70556,23.4,,36740.70556,0.93,,38999.99861,2.1525
39091.70556,42006,,39091.70556,22.68,,36741.70556,0.93,,39000.99861,2.1431
39093.70556,42670,,39093.70556,22.59,,36742.70556,0.95,,39001.99861,2.1465
39094.70556,43094,,39094.70556,22.61,,36745.70556,0.98,,39002.99861,2.1475
39098.70556,42624,,39098.70556,22.15,,36746.70556,0.97,,39003.99861,2.1375
39101.70556,43427,,39101.70556,22.67,,36747.70556,0.95,,39006.99861,2.1285
39104.70556,43553,,39104.70556,22.64,,36748.70556,0.95,,39007.99861,2.132
39108.70556,44412,,39108.70556,23.25,,36749.70556,0.98,,39008.99861,2.124
39112.70556,43573,,39112.70556,22.66,,36752.70556,0.98,,39009.99861,2.128
39115.70556,44997,,39115.70556,23.62,,36753.70556,1,,39010.99861,2.1345
39118.70556,45286,,39118.70556,23.49,,36754.70556,0.99,,39013.99861,2.1343
39122.70556,44284,,39122.70556,22.4,,36755.70556,1.01,,39014.99861,2.141
39127.70556,45197,,39127.70556,22.58,,36756.70556,0.99,,39015.99861,2.1443
39128.70556,45955,,39128.70556,22.15,,36759.70556,0.99,,39016.99861,2.1315
39129.70556,45849,,39129.70556,22.17,,36760.70556,0.98,,39017.99861,2.1315
39134.70556,46090,,39134.70556,22.15,,36761.70556,0.99,,39020.99861,2.1385
39135.70556,46452,,39135.70556,22.55,,36762.70556,1,,39021.99861,2.133
39140.70556,46207,,39140.70556,22.81,,36763.70556,1,,39022.99861,2.1368
39142.70556,43516,,39142.70556,21.19,,36766.70556,1,,39023.99861,2.14
39143.70556,42369,,39143.70556,20.58,,36767.70556,0.99,,39024.99861,2.1412
39147.70556,43218,,39147.70556,20.93,,36768.70556,0.98,,39027.99861,2.1317
39150.70556,43465,,39150.70556,21.18,,36769.70556,0.96,,39028.99861,2.132
39154.70556,42749,,39154.70556,20.58,,36770.70556,0.95,,39029.99861,2.1408
39155.70556,43288,,39155.70556,20.68,,36773.70556,0.96,,39030.99861,2.1375
39156.70556,43278,,39156.70556,20.45,,36774.70556,0.98,,39031.99861,2.146
39157.70556,42730,,39157.70556,20.2,,36775.70556,1.02,,39034.99861,2.1605
39160.70556,43712,,39160.70556,20.56,,36777.70556,0.98,,39035.99861,2.152
39161.70556,44350,,39161.70556,20.95,,36780.70556,0.98,,39036.99861,2.146
39162.70556,45630,,39162.70556,21.67,,36781.70556,0.98,,39037.99861,2.1475
39163.70556,45424,,39163.70556,22,,36782.70556,0.97,,39038.99861,2.16
39164.70556,45532,,39164.70556,22.13,,36783.70556,0.95,,39041.99861,2.156
39167.70556,45644,,39167.70556,22.33,,36784.70556,0.94,,39042.99861,2.161
39168.70556,45206,,39168.70556,22.21,,36787.70556,0.91,,39043.99861,2.16
39169.70556,44484,,39169.70556,22.1,,36788.70556,0.9,,39044.99861,2.1633
39170.70556,45355,,39170.70556,23.14,,36789.70556,0.88,,39045.99861,2.163
39171.70556,45804,,39171.70556,23.11,,36790.70556,0.86,,39048.99861,2.1765
39174.70556,45597,,39174.70556,23.01,,36791.70556,0.86,,39049.99861,2.182
39175.70556,46288,,39175.70556,22.7,,36794.70556,0.89,,39050.99861,2.1743
39176.70556,46553,,39176.70556,22.93,,36795.70556,0.89,,39051.99861,2.166
39177.70556,46646,,39177.70556,23.1,,36796.70556,0.87,,39052.99861,2.158
39181.70556,46854,,39181.70556,23.02,,36797.70556,0.88,,39055.99861,2.1642
39182.70556,47174,,39182.70556,23.35,,36798.70556,0.88,,39056.99861,2.1515
39183.70556,46939,,39183.70556,23.05,,36801.70556,0.88,,39057.99861,2.1454
39184.70556,47346,,39184.70556,23.38,,36802.70556,0.88,,39058.99861,2.1375
39185.70556,47926,,39185.70556,23.83,,36803.70556,0.9,,39059.99861,2.1362
39188.70556,48921,,39188.70556,24.26,,36805.70556,0.9,,39062.99861,2.133
39190.70556,48709,,39190.70556,23.7,,36808.70556,0.9,,39063.99861,2.1446
39191.70556,48762,,39191.70556,23.35,,36810.70556,0.86,,39064.99861,2.1407
39195.70556,49162,,39195.70556,23.33,,36812.70556,0.88,,39065.99861,2.138
39196.70556,49070,,39196.70556,23.11,,36815.70556,0.86,,39066.99861,2.1415
39197.70556,49675,,39197.70556,23.75,,36816.70556,0.85,,39069.99861,2.144
39198.70556,49067,,39198.70556,23.25,,36817.70556,0.83,,39070.99861,2.1545
